ID,UnderlyingValue,PrevId,MaxPain,PCR,maxpain_start,underlying_start,PCR_start,lowerrangevalue,upperrangevalue,rangespike,max,min,result1,result2
38260,19564.2,38259,19500,1.11,19500,19559.4,1.19,19300,19600,0,19669.3,19602.3,1,0
38261,19602.3,38260,19500,1.1,19500,19559.4,1.19,19400,19700,1,19669.3,19608.7,1,0
38262,19608.7,38261,19500,1.09,19500,19559.4,1.19,19400,19700,0,19669.3,19609.3,1,0
38263,19643.9,38262,19500,1.08,19500,19559.4,1.19,19400,19700,0,19669.3,19605.8,0,0
38264,19629.4,38263,19500,1.07,19500,19559.4,1.19,19400,19700,0,19669.3,19605.8,0,0
38265,19609.3,38264,19500,1.07,19500,19559.4,1.19,19400,19700,0,19669.3,19605.8,1,0
38266,19669.3,38265,19500,1.07,19500,19559.4,1.19,19400,19700,0,19639.2,19605.8,0,1
38267,19639.2,38266,19500,1.07,19500,19559.4,1.19,19400,19700,0,19632.3,19531.9,0,1
38268,19630.1,38267,19500,1.06,19500,19559.4,1.19,19400,19700,0,19632.3,19531.9,0,1
38269,19605.8,38268,19500,1.06,19500,19559.4,1.19,19300,19600,-1,19632.3,19499.6,0,1
38270,19632.3,38269,19500,1.06,19500,19559.4,1.19,19400,19700,1,19630,19470.8,0,1
38271,19630,38270,19500,1.06,19500,19559.4,1.19,19400,19700,0,19623.1,19470.8,0,1
38272,19623.1,38271,19500,1.06,19500,19559.4,1.19,19400,19700,0,19533.8,19470.8,0,1
38273,19531.9,38272,19500,1.05,19500,19559.4,1.19,19300,19600,-1,19533.8,19470.8,0,1
38274,19533.8,38273,19500,1.05,19500,19559.4,1.19,19300,19600,0,19531.2,19470.8,0,1
38275,19499.6,38274,19500,1.04,19500,19559.4,1.19,19200,19500,-1,19531.2,19463.9,0,0
38276,19470.8,38275,19500,1.04,19500,19559.4,1.19,19200,19500,0,19531.2,19450.4,1,0
38277,19503.9,38276,19500,1.04,19500,19559.4,1.19,19200,19500,0,19531.2,19450.4,0,1
38278,19479.9,38277,19500,1.04,19500,19559.4,1.19,19200,19500,0,19531.2,19450.4,1,0
38279,19531.2,38278,19500,1.05,19500,19559.4,1.19,19300,19600,1,19530.6,19450.4,0,1
38280,19490.3,38279,19500,1.05,19500,19559.4,1.19,19200,19500,-1,19530.6,19447.2,0,0
38281,19463.9,38280,19500,1.05,19500,19559.4,1.19,19200,19500,0,19530.6,19443.9,1,0
38282,19450.4,38281,19500,1.04,19500,19559.4,1.19,19200,19500,0,19530.6,19437.3,1,0
38283,19491.6,38282,19500,1.04,19500,19559.4,1.19,19200,19500,0,19530.6,19437.3,0,1
38284,19530.6,38283,19500,1.03,19500,19559.4,1.19,19300,19600,1,19490.7,19437.3,0,1
38285,19490.7,38284,19500,1.03,19500,19559.4,1.19,19200,19500,-1,19484.2,19437.3,0,1
38286,19447.2,38285,19500,1.03,19500,19559.4,1.19,19200,19500,0,19484.2,19407,0,0
38287,19443.9,38286,19500,1.03,19500,19559.4,1.19,19200,19500,0,19484.2,19337,0,1
38288,19437.3,38287,19500,1.02,19500,19559.4,1.19,19200,19500,0,19484.2,19309,0,1
38289,19484.2,38288,19500,1.02,19500,19559.4,1.19,19300,19600,1,19460.8,19309,0,1
38290,19460.8,38289,19500,1.02,19500,19559.4,1.19,19200,19500,-1,19446.1,19309,0,1
38291,19446.1,38290,19500,1.03,19500,19559.4,1.19,19200,19500,0,19407,19309,0,1
38292,19407,38291,19500,1.03,19500,19559.4,1.19,19200,19500,0,19433.4,19309,0,1
38293,19337,38292,19500,1,19500,19559.4,1.19,19100,19400,-1,19540.9,19309,1,0
38294,19309,38293,19500,1,19500,19559.4,1.19,19100,19400,0,19540.9,19354.8,1,0
38295,19392.7,38294,19500,0.99,19500,19559.4,1.19,19200,19500,1,19540.9,19354.8,1,0
38296,19354.8,38295,19500,0.99,19500,19559.4,1.19,19200,19500,0,19540.9,19388.8,1,0
38297,19388.8,38296,19500,0.99,19500,19559.4,1.19,19200,19500,0,19540.9,19433.4,1,0
38298,19433.4,38297,19500,1,19500,19559.4,1.19,19300,19600,1,19603.7,19469.8,1,0
38299,19540.9,38298,19500,1.01,19500,19559.4,1.19,19300,19600,0,19603.7,19469.8,1,1
38300,19507.7,38299,19500,1.02,19500,19559.4,1.19,19300,19600,0,19603.7,19469.8,1,0
38301,19506.9,38300,19500,1,19500,19559.4,1.19,19300,19600,0,19603.7,19469.8,1,0
